PDF,Model,Watt(W),DC Voltage(V),Additional Option(Type),Method
LPP-150-SPEC.PDF,LPP-150-3.3,99,3.3,,ordered
LPP-150-SPEC.PDF,LPP-150-48,153.6,48,,ordered
LPP-150-SPEC.PDF,LPP-150-5,150,5,,ordered
LPP-150-SPEC.PDF,LPP-150-7.5,150,7.5,,ordered
LPS-100-SPEC.PDF,LPS-100-12,100.8,12,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-13.5,101.25,13.5,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-15,100.5,15,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-24,100.8,24,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-27,144,27,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-3.3,66,3.3,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-48,102.6,48,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-5,100,5,,ordered-truncated
LPS-100-SPEC.PDF,LPS-100-7.5,99.75,7.5,,ordered-truncated
LPS-50-SPEC.PDF,LPS-50-12,50.4,12,,ordered
LPS-50-SPEC.PDF,LPS-50-15,51,15,,ordered
LPS-50-SPEC.PDF,LPS-50-24,50.4,24,,ordered
LPS-50-SPEC.PDF,LPS-50-3.3,33,3.3,,ordered
LPS-50-SPEC.PDF,LPS-50-48,52.8,48,,ordered
LPS-50-SPEC.PDF,LPS-50-5,50,5,,ordered
LPS-75-SPEC.PDF,LPS-75-12,74.4,12,,ordered
LPS-75-SPEC.PDF,LPS-75-15,75,15,,ordered
LPS-75-SPEC.PDF,LPS-75-24,76.8,24,,ordered
LPS-75-SPEC.PDF,LPS-75-3.3,49.5,3.3,,ordered
LPS-75-SPEC.PDF,LPS-75-48,75,48,,ordered
LPS-75-SPEC.PDF,LPS-75-5,75,5,,ordered
LPV-100-SPEC.pdf,LPV-100-12,102,12,,ordered
LPV-100-SPEC.pdf,LPV-100-15,100.5,15,,ordered
LPV-100-SPEC.pdf,LPV-100-24,100.8,24,,ordered
LPV-100-SPEC.pdf,LPV-100-36,100.8,36,,ordered
LPV-100-SPEC.pdf,LPV-100-48,100.8,48,,ordered
LPV-100-SPEC.pdf,LPV-100-5,60,5,,ordered
LPV-150-SPEC.PDF,LPV-150-15,120,15,,single-power-for-all
LPV-150-SPEC.PDF,LPV-150-36,120,,,single-power-for-all
LPV-150-SPEC.PDF,LPV-150-48,120,,,single-power-for-all
LPV-20-SPEC.pdf,LPV-20-12,20,12,,ordered
LPV-20-SPEC.pdf,LPV-20-15,20,15,,ordered
LPV-20-SPEC.pdf,LPV-20-24,20.2,24,,ordered
LPV-20-SPEC.pdf,LPV-20-5,15,5,,ordered
LPV-35-SPEC.pdf,LPV-35-12,36,12,,ordered
LPV-35-SPEC.pdf,LPV-35-15,36,15,,ordered
LPV-35-SPEC.pdf,LPV-35-24,36,24,,ordered
LPV-35-SPEC.pdf,LPV-35-36,36,36,,ordered
LPV-35-SPEC.pdf,LPV-35-5,30,5,,ordered
LPV-60-SPEC.pdf,LPV-60-12,60,12,,ordered
LPV-60-SPEC.pdf,LPV-60-15,60,15,,ordered
LPV-60-SPEC.pdf,LPV-60-24,60,24,,ordered
LPV-60-SPEC.pdf,LPV-60-36,60,36,,ordered
