"Model","Watt(W)","Sources","DistinctPDFs","Note"
"LDH-45","45.15","1","1",""
"LDH-45(DA)","45.15","1","1",""
"LDH-65","56","1","1",""
"LOP-300","300","1","1",""
"LOP-500","500","1","1",""
"LPC-100-1050","100.1","1","1",""
"LPC-100-1400","100.1","1","1",""
"LPC-100-1750","100.1","1","1",""
"LPC-100-2100","100.1","1","1",""
"LPC-100-350","100.1","1","1",""
"LPC-100-500","100.1","1","1",""
"LPC-100-700","100.1","1","1",""
"LPC-150-1050","151.2","1","1",""
"LPC-150-1400","151.2","1","1",""
"LPC-150-2450","151.9","1","1",""
"LPC-150-3150","151.2","1","1",""
"LPC-20-350","16.8","1","1",""
"LPC-20-700","21","1","1",""
"LPC-35-1050","31.5","1","1",""
"LPC-35-1400","33.6","1","1",""
"LPC-35-700","33.6","1","1",""
"LPC-60-1050","50.4","1","1",""
"LPC-60-1400","58.8","1","1",""
"LPC-60-1750","59.5","1","1",""
"LPH-18-12","18","1","1",""
"LPH-18-24","18","1","1",""
"LPH-18-36","18","1","1",""
"LPHC-18-350","16.8","1","1",""
"LPHC-18-700","17.5","1","1",""
"LPP-100-12","102","1","1",""
"LPP-100-13.5","101.25","1","1",""
"LPP-100-15","100.5","1","1",""
"LPP-100-24","100.8","1","1",""
"LPP-100-27","102.6","1","1",""
"LPP-100-3.3","66","1","1",""
"LPP-100-48","100.8","1","1",""
"LPP-100-5","100","1","1",""
"LPP-100-7.5","101.25","1","1",""
"LPP-150-12","150","1","1",""
"LPP-150-13.5","151.2","1","1",""
"LPP-150-15","150","1","1",""
"LPP-150-24","151.2","1","1",""
"LPP-150-27","151.2","1","1",""
"LPP-150-3.3","99","1","1",""
"LPP-150-48","153.6","1","1",""
"LPP-150-5","150","1","1",""
"LPP-150-7.5","150","1","1",""
"LPS-100-12","100.8","1","1",""
"LPS-100-13.5","101.25","1","1",""
"LPS-100-15","100.5","1","1",""
"LPS-100-24","100.8","1","1",""
"LPS-100-27","102.6","1","1",""
"LPS-100-3.3","66","1","1",""
"LPS-100-48","100.8","1","1",""
"LPS-100-5","100","1","1",""
"LPS-100-7.5","99.75","1","1",""
"LPS-50-12","50.4","1","1",""
"LPS-50-15","51","1","1",""
"LPS-50-24","50.4","1","1",""
"LPS-50-3.3","33","1","1",""
"LPS-50-48","52.8","1","1",""
"LPS-50-5","50","1","1",""
"LPS-75-12","74.4","1","1",""
"LPS-75-15","75","1","1",""
"LPS-75-24","76.8","1","1",""
"LPS-75-3.3","49.5","1","1",""
"LPS-75-48","75","1","1",""
"LPS-75-5","75","1","1",""
"LPV-100-12","102","1","1",""
"LPV-100-15","100.5","1","1",""
"LPV-100-24","100.8","1","1",""
"LPV-100-36","100.8","1","1",""
"LPV-100-48","100.8","1","1",""
"LPV-100-5","60","1","1",""
"LPV-20-12","20","1","1",""
"LPV-20-15","20","1","1",""
"LPV-20-24","20.2","1","1",""
"LPV-20-5","15","1","1",""
"LPV-35-12","36","1","1",""
"LPV-35-15","36","1","1",""
"LPV-35-24","36","1","1",""
