"SpecPath","ModelAliases","MatchedThumbnailCount","MatchedThumbnails"
"ERDN\ERDN40-spec.pdf","ERDN40","2","ERDN40.jpg; ERDN40-24.jpg"
"GST\GST280A-SPEC.pdf","GST280A","2","GST280A.jpg; GST280A24-C6P.jpg"
"GST\GST360A-spec.pdf","GST360A","2","GST360A.jpg; GST360A48-C6P.jpg"
"GST\GST60A-SPEC.pdf","GST60A","2","GST60A24.jpg; GST60A24-P1J.jpg"
"HDR\HDR-100-spec.pdf","HDR-100","5","HDR-100.jpg; HDR-100-12.jpg; HDR-100-15.jpg; HDR-100-24.jpg; HDR-100-48.jpg"
"HDR\HDR-150-spec.pdf","HDR-150","5","HDR-150.jpg; HDR-150-12.jpg; HDR-150-15.jpg; HDR-150-24.jpg; HDR-150-48.jpg"
"HDR\HDR-15-SPEC.pdf","HDR-15","5","HDR-15.jpg; HDR-15-12.jpg; HDR-15-15.jpg; HDR-15-24.jpg; HDR-15-5.jpg"
"HDR\HDR-30-SPEC.pdf","HDR-30","6","HDR-30.jpg; HDR-30-12.jpg; HDR-30-15.jpg; HDR-30-24.jpg; HDR-30-48.jpg; HDR-30-5.jpg"
"HDR\HDR-60-SPEC.pdf","HDR-60","6","HDR-60.jpg; HDR-60-12.jpg; HDR-60-15.jpg; HDR-60-24.jpg; HDR-60-48.jpg; HDR-60-5.jpg"
"HLG\HLG-100H-SPEC.pdf","HLG-100H","0",""
"HLG\HLG-120H-SPEC.pdf","HLG-120H","4","HLG-120H.jpg; HLG-120H-12A.jpg; HLG-120H-15A.jpg; HLG-120H-48B.jpg"
"HLG\HLG-150H-SPEC.pdf","HLG-150H","6","HLG-150H.jpg; HLG-150H-24A.jpg; HLG-150H-30.jpg; HLG-150H-30A.jpg; HLG-150H-36A.jpg; HLG-150H-48B.jpg"
"HLG\HLG-185H-SPEC.pdf","HLG-185H","6","HLG-185H.jpg; HLG-185H-24.jpg; HLG-185H-24A.jpg; HLG-185H-36.jpg; HLG-185H-36A.jpg; HLG-185H-48B.jpg"
"HLG\HLG-240H-spec.pdf","HLG-240H","3","HLG-240H.jpg; HLG-240H-24A.jpg; HLG-240H-36A.jpg"
"HLG\HLG-320H-SPEC.pdf","HLG-320H","2","HLG-320H.jpg; HLG-320H-30A.jpg"
"HLG\HLG-40H-SPEC.pdf","HLG-40H","2","HLG-40H.jpg; HLG-40H-24.jpg"
"HLG\HLG-480H-spec.pdf","HLG-480H","0",""
"HLG\HLG-600H-SPEC.pdf","HLG-600H","4","HLG-600H.jpg; HLG-600H-24A.jpg; HLG-600H-48A.jpg; HLG-600H-54AB.jpg"
"HLG\HLG-60H-SPEC.pdf","HLG-60H","4","HLG-60H.jpg; HLG-60H-12.jpg; HLG-60H-36.jpg; HLG-60H-36A.jpg"
"HLG\HLG-80H-SPEC.pdf","HLG-80H","2","HLG-80H.jpg; HLG-80H-12.jpg"
"HRP\HRP-100-SPEC.pdf","HRP-100","3","HRP-100.jpg; HRP-100-15.jpg; HRP-100-24.jpg"
"HRP\HRP-150-SPEC.pdf","HRP-150","3","HRP-150.jpg; HRP-150-15.jpg; HRP-150-24.jpg"
"HRP\HRP-200-SPEC.pdf","HRP-200","3","HRP-200.jpg; HRP-200-12.jpg; HRP-200-24.jpg"
"HRP\HRP-300-SPEC.pdf","HRP-300","4","HRP-300.jpg; HRP-300-12.jpg; HRP-300-15.jpg; HRP-300-24.jpg"
"HRP\HRP-450-SPEC.pdf","HRP-450","2","HRP-450.jpg; HRP-450-24.jpg"
